Name;Rating;Price;Ingredients
ALOESOVE Nawilżający krem do twarzy na dzień;Oceniony 5.00 na 5.;27.90;Woda, Olej lniany, Olej z pestek winogron, Olej słonecznikowy, Triglicerydy kwasu kaprylowego i kaprynowego, Stearynian sorbitanu, Sucrose Cocoate, Gliceryna, Stearynian glicerolu, Kwas stearynowy, Kokaprylan, Ekstrakt z aloesu, Ekstrakt z liści miłorzębu japońskiego, Alkohol cetylostearylowy, Witamina E, Guma ksantanowa, Olejek rozmarynowy, Olejek miętowy, Olejek pomarańczowy, Olejek eukaliptusowy, Olejek jałowcowy, Alkohol benzylowy, Kwas dehydrooctowy, Limonen
ALOESOVE Odżywczy krem do twarzy na noc;Oceniony 4.94 na 5.;30.90;Woda, Olej z wiesiołka, Olej jojoba, Olej z pestek winogron, Stearynian sorbitanu, Sucrose Cocoate, Masło karite (Shea), Gliceryna, Stearynian glicerolu, Panthenol, Lecytyna, Kwas stearynowy, Ekstrakt z aloesu, Ekstrakt z liści miłorzębu japońskiego, Hialuronian sodu, Alkohol cetylostearylowy, Witamina E, Alantoina, Guma ksantanowa, Olejek lawendowy, Olejek tymiankowy, Olejek pomarańczowy, Olejek jałowcowy, Alkohol benzylowy, Kwas dehydrooctowy, Limonen, Linalol
ALOESOVE Płyn micelarny do demakijażu twarzy i oczu;Oceniony 5.00 na 5.;19.99;Olejek jałowcowy, Ekstrakt z liści miłorzębu japońskiego, Olej lniany, Olejek eukaliptusowy, Limonen, Woda, Panthenol, Olejek rozmarynowy, Olejek pomarańczowy, Olejek miętowy, Kwas mlekowy, Kwas dehydrooctowy, Glukozyd kokosowy, Ekstrakt z aloesu, Betaina kokamidopropylowa, Alkohol benzylowy
ALOESOVE Regenerujący żel do twarzy, ciała i włosów;Oceniony 4.97 na 5.;25.90;Woda, Gliceryna, Propanediol, Panthenol, Ekstrakt z aloesu, Ekstrakt z liści miłorzębu japońskiego, Hydroksyetyloceluloza, Alginian sodu, Alantoina, Olejek lawendowy, Olejek pomarańczowy, Olejek geraniowy, Olejek rozmarynowy, Alkohol benzylowy, Kwas dehydrooctowy, Limonen, Linalol, Cytronellol, Geraniol
ALOESOVE Regenerujący żel do twarzy, ciała i włosów – wersja mini;no rating;17.90;Woda, Gliceryna, Propanediol, Panthenol, Ekstrakt z aloesu, Ekstrakt z liści miłorzębu japońskiego, Hydroksyetyloceluloza, Alginian sodu, Alantoina, Olejek lawendowy, Olejek pomarańczowy, Olejek geraniowy, Olejek rozmarynowy, Alkohol benzylowy, Kwas dehydrooctowy, Limonen, Linalol, Cytronellol, Geraniol
ALOESOVE Serum do twarzy;Oceniony 4.97 na 5.;29.90;Woda, Gliceryna, Propanediol, Panthenol, Ekstrakt z aloesu, Ekstrakt z liści miłorzębu japońskiego, Alginian sodu, Hydroksyetyloceluloza, Hialuronian sodu, Alantoina, Proteiny owsa, Kwas fitowy, Olejek pomarańczowy, Olejek miętowy, Olejek jałowcowy, Olejek lawendowy, Olejek bergamotkowy, Alkohol benzylowy, Kwas dehydrooctowy, Limonen, Linalol
ALOESOVE Żel myjący do twarzy;Oceniony 5.00 na 5.;19.99;Olejek jałowcowy, Ekstrakt z liści miłorzębu japońskiego, Olejek geraniowy, Limonen, Woda, Panthenol, Olejek rozmarynowy, Olejek pomarańczowy, Olejek miętowy, Oleinian glicerolu, Olej lniany, Kwas jabłkowy, Glukozyd laurylowy, Glukozyd decylowy, Gliceryna, Ekstrakt z aloesu, Betaina kokamidopropylowa, Benzoesan sodu
DUETUS Krem do twarzy na dzień;Oceniony 5.00 na 5.;26.99;Woda, Olej z pestek winogron, Olej konopny, Skrobia ryżowa, Skwalan, Stearynian sorbitanu, Sucrose Cocoate, Stearynian glicerolu, Kwas stearynowy, Ekstrakt z łopianu, Alkohol cetylostearylowy, Węgiel aktywny, Niacynamid (witamina B3), Witamina E, Guma ksantanowa, Olejek tymiankowy, Olejek lawendowy, Olejek jałowcowy, Olejek pomarańczowy, Alkohol benzylowy, Kwas dehydrooctowy, Limonen, Linalol
DUETUS Krem do twarzy na noc;Oceniony 5.00 na 5.;26.99;Woda, Olej konopny, Olej z pestek winogron, Olej z czarnuszki, Stearynian sorbitanu, Sucrose Cocoate, Stearynian glicerolu, Kwas stearynowy, Ekstrakt z nagietka lekarskiego, Alkohol cetylostearylowy, Siarka, Niacynamid (witamina B3), Witamina E, Guma ksantanowa, Olejek tymiankowy, Alkohol benzylowy, Kwas dehydrooctowy, Cytral, Limonen, Linalol
DUETUS Maseczka do twarzy;Oceniony 5.00 na 5.;6.01;Woda, Olej z pestek winogron, Glinka biała, Sorbitol, Olej konopny, Stearynian sorbitanu, Sucrose Cocoate, Stearynian glicerolu, Węgiel aktywny, Skwalan, Witamina E, Ekstrakt z lukrecji gładkiej, Kwas stearynowy, Alkohol cetylostearylowy, Kwas salicylowy, Guma ksantanowa, Olejek tymiankowy, Alkohol benzylowy, Kwas dehydrooctowy, Limonen, Linalol
DUETUS Peeling do twarzy;Oceniony 5.00 na 5.;24.90;Woda, Korund, Olej z pestek winogron, Stearynian glicerolu, Triglicerydy kwasu kaprylowego i kaprynowego, Stearynian sorbitanu, Sucrose Cocoate, Olej z czarnuszki, Kwas stearynowy, Nasiona czarnuszki, Ekstrakt z lukrecji gładkiej, Węgiel aktywny, Panthenol, Witamina E, Alkohol cetylowy, Benzoesan sodu, Guma ksantanowa, Guma guar, Olejek tymiankowy, Olejek bergamotkowy, Alkohol benzylowy, Kwas dehydrooctowy, Limonen, Linalol
DUETUS Serum regulujące;Oceniony 4.83 na 5.;22.90;Woda, Olejek z drzewa herbacianego, Sorbitol, Propanediol, Hydroksyetyloceluloza, Panthenol, Ekstrakt z ziela pięciornika gęsiego, Ekstrakt z nagietka lekarskiego, Ekstrakt z lukrecji gładkiej, Siarka, Kwas salicylowy, Kwas mlekowy, Alantoina, Guma ksantanowa, Glukozyd decylowy, Limonen, Linalol
